dttm,wbi
2022-12-01 00:00,6.05
2022-12-01 01:00,5.85
2022-12-01 02:00,5.78
2022-12-01 03:00,5.15
2022-12-01 04:00,4.42
2022-12-01 05:00,4.1
2022-12-01 06:00,3.8
2022-12-01 07:00,3.79
2022-12-01 08:00,3.79
2022-12-01 09:00,3.79
2022-12-01 10:00,3.91
2022-12-01 11:00,4.31
2022-12-01 12:00,4.28
2022-12-01 13:00,4.23
2022-12-01 14:00,4.37
2022-12-01 15:00,3.99
2022-12-01 16:00,3.65
2022-12-01 17:00,3.45
2022-12-01 18:00,3.27
2022-12-01 19:00,3.2
2022-12-01 20:00,3.09
2022-12-01 21:00,3.07
2022-12-01 22:00,3.04
2022-12-01 23:00,3.03
2022-12-02 00:00,3.02
2022-12-02 01:00,3.04
2022-12-02 02:00,2.92
2022-12-02 03:00,2.92
2022-12-02 04:00,2.9
2022-12-02 05:00,2.9
2022-12-02 06:00,3
2022-12-02 07:00,3.08
2022-12-02 08:00,3.12
2022-12-02 09:00,3.13
2022-12-02 10:00,3.24
2022-12-02 11:00,3.48
2022-12-02 12:00,3.53
2022-12-02 13:00,3.57
2022-12-02 14:00,3.92
2022-12-02 15:00,4.11
2022-12-02 16:00,4.14
2022-12-02 17:00,3.79
2022-12-02 18:00,3.69
2022-12-02 19:00,3.59
2022-12-02 20:00,3.61
2022-12-02 21:00,3.68
2022-12-02 22:00,3.56
2022-12-02 23:00,3.42
2022-12-03 00:00,2.38
2022-12-03 01:00,1.58
2022-12-03 02:00,1.38
2022-12-03 03:00,0.83
2022-12-03 04:00,0.97
2022-12-03 05:00,0.9
2022-12-03 06:00,1.05
2022-12-03 07:00,0.75
2022-12-03 08:00,0.59
2022-12-03 09:00,0.73
2022-12-03 10:00,1.5
2022-12-03 11:00,1.77
2022-12-03 12:00,1.93
2022-12-03 13:00,1.95
2022-12-03 14:00,2.07
2022-12-03 15:00,2.33
2022-12-03 16:00,2.55
2022-12-03 17:00,2.62
2022-12-03 18:00,2.51
2022-12-03 19:00,2.42
2022-12-03 20:00,2.4
2022-12-03 21:00,2.15
2022-12-03 22:00,1.45
2022-12-03 23:00,1.01
2022-12-04 00:00,1.08
2022-12-04 01:00,1.1
2022-12-04 02:00,1.16
2022-12-04 03:00,1.35
2022-12-04 04:00,1.44
2022-12-04 05:00,1.34
2022-12-04 06:00,1.21
2022-12-04 07:00,0.97
2022-12-04 08:00,1.16
2022-12-04 09:00,1.52
2022-12-04 10:00,1.64
2022-12-04 11:00,1.81
2022-12-04 12:00,1.75
2022-12-04 13:00,1.76
2022-12-04 14:00,1.87
2022-12-04 15:00,1.95
2022-12-04 16:00,1.89
2022-12-04 17:00,1.9
2022-12-04 18:00,1.91
2022-12-04 19:00,1.99
2022-12-04 20:00,2.06
2022-12-04 21:00,2.16
2022-12-04 22:00,2.33
2022-12-04 23:00,2.2
2022-12-05 00:00,2.3
2022-12-05 01:00,2.39
2022-12-05 02:00,2.4
2022-12-05 03:00,2.61
2022-12-05 04:00,3.08
2022-12-05 05:00,4.43
2022-12-05 06:00,4.78
2022-12-05 07:00,4.76
